time,word,cate,v,a
8/9/2012,science,0,4.76,4.71
8/10/2012,drugs,0,3.76,6
8/21/2012,betrayal,0,2.24,5.71
8/21/2012,drama,0,3.86,6.39
8/22/2012,thump,0,4.42,4
8/22/2012,thump,0,4.42,4
8/23/2012,kick,0,4.55,5.1
8/25/2012,complicated,0,3.82,5.75
8/28/2012,lie,0,2.39,4.81
8/28/2012,betrayal,0,2.24,5.71
8/29/2012,storm,0,5.74,5.86
9/2/2012,damn,0,4.32,5.1
9/3/2012,damn,0,4.32,5.1
9/5/2012,kick,0,4.55,5.1
9/5/2012,damn,0,4.32,5.1
9/11/2012,kick,0,4.55,5.1
9/14/2012,shit,0,3.91,5.67
9/15/2012,drugs,0,3.76,6
9/23/2012,stairs,0,4.67,5
9/25/2012,blame,0,2.94,4.81
9/28/2012,battery,0,4.26,3.95
9/28/2012,science,0,4.76,4.71
9/29/2012,hit,0,3.95,5.48
10/5/2012,burn,0,2.73,6.22
10/5/2012,bout,0,3.9,3.67
10/8/2012,bout,0,3.9,3.67
10/10/2012,quiz,0,4.53,4.95
10/13/2012,kick,0,4.55,5.1
10/25/2012,stairs,0,4.67,5
10/26/2012,trouble,0,3.03,6.85
10/27/2012,annoying,0,3,5.55
10/27/2012,angry,0,2.53,6.2
10/27/2012,argue,0,3.15,6.67
10/27/2012,ridiculous,0,3.67,5.65
10/31/2012,rough,0,4.74,5.33
11/1/2012,grumpy,0,2.81,5.05
11/1/2012,blame,0,2.94,4.81
11/4/2012,shit,0,3.91,5.67
11/5/2012,smell,0,6.39,5.24
11/14/2012,science,0,4.76,4.71
11/14/2012,frustrated,0,2.55,5.4
11/14/2012,hot,0,5.73,4.76
11/21/2012,damn,0,4.32,5.1
11/21/2012,crunch,0,4.79,4.17
11/21/2012,crunch,0,4.79,4.17
11/22/2012,smell,0,6.39,5.24
11/22/2012,drill,0,4.4,5.4
11/30/2012,admit,0,4.93,4.97
12/2/2012,waffle,0,6.75,4.5
12/8/2012,despicable,0,2.76,4.86
12/15/2012,row,0,5.48,3.39
1/8/2013,deny,0,3.81,5.63
1/8/2013,deny,0,3.81,5.63
1/9/2013,stairs,0,4.67,5
1/13/2013,deserve,0,6.77,4.5
1/14/2013,suck,0,3.71,5.6
1/18/2013,shark,0,4.02,5.27
1/19/2013,waffle,0,6.75,4.5
1/21/2013,sucker,0,4,4.74
1/27/2013,guilty,0,3.09,4.65
1/28/2013,blame,0,2.94,4.81
1/29/2013,suck,0,3.71,5.6
2/13/2013,annoying,0,3,5.55
2/18/2013,jealous,0,2.38,5.9
3/16/2013,hot,0,5.73,4.76
3/23/2013,waffle,0,6.75,4.5
3/27/2013,science,0,4.76,4.71
3/28/2013,sucker,0,4,4.74
3/30/2013,trouble,0,3.03,6.85
4/2/2013,deserve,0,6.77,4.5
4/7/2013,deserve,0,6.77,4.5
4/9/2013,hot,0,5.73,4.76
4/13/2013,jealous,0,2.38,5.9
4/13/2013,bound,0,4.05,5.55
4/14/2013,deserve,0,6.77,4.5
